latitude,longitude
21.4314731,106.6127356
20.7779654,105.8830869
12.6379353,108.0091666
15.3377944,108.1996062
22.0137222,105.0213756
21.9174404,106.7234121
21.2538956,104.9622913
13.6557401,108.4074426
20.8451374,104.6813634
21.0094456,106.802419
18.2406113,106.1146943
21.0734655,104.2445965
20.8984278,104.675225
20.8160094,106.6638933
22.3283641,104.1927373
21.3227401,103.1901676
20.9132288,106.7069432
20.9374802,105.7565778
10.2774861,106.6106395
20.7488341,105.9923505
10.1047436,106.257496
22.6458553,106.7125963
14.8322268,107.6822953
21.0353208,106.5679372
21.7063558,105.7416547
21.6322786,105.1787328
21.3136883,105.7197193
21.0490294,106.3266552
10.9755538,107.0148343
10.591503,105.3091237
20.7234684,106.7391341
20.1771726,105.9476537
16.4963097,107.5789805
20.5241714,104.996529
18.6266585,105.5866089
13.9555916,109.2413148
20.9897532,105.5773232
20.1128005,106.0316591
9.0306143,105.0918956
21.5381219,105.2224037
21.3636934,103.0291012
14.381445,107.9856853
20.9982229,105.7477011
18.8190587,105.471966
21.1221599,106.0486339
10.1732811,106.5569356
21.4158077,104.7717497
13.1006974,109.3075671
20.8451996,104.6833303
21.6417903,105.6866204
20.0798241,105.5549975
13.1700159,109.2901724
11.7712713,106.0182461
21.5187903,105.0615062
19.940462,105.5625916
21.0418184,106.7590284
18.1195124,106.3441461
10.7463574,106.8861372
21.3480313,106.8589624
20.9932822,105.8738352
11.7123894,108.8061262
10.781725,106.6518612
17.1820334,106.7735615
21.6488038,105.1618744
21.2957571,106.3201985
21.4116328,103.9978078
21.2665454,106.0736518
13.891553,109.0797825
15.1630697,108.7704497
13.9135342,109.0015157
21.4238593,106.5546108
22.174666,105.4275043
19.5535511,105.6982881
21.2330298,104.0559876
20.9166863,106.6009919
10.2587923,104.6047018
20.6911956,105.9999938
10.4545886,105.4912827
21.0641435,106.0789767
10.0801111,105.6930001
20.0739715,105.9401777
16.8177536,107.0973283
13.9700197,107.9878858
13.9181822,109.0405108
20.5378723,106.283059
21.402974,105.9709079
20.8763235,106.0128788
21.3735286,105.869181
18.7628446,105.7517799
10.9361035,106.4003835
21.2852688,105.6391548
21.3894956,103.8679219
18.6033377,105.4394147
17.6411339,106.3735557
21.0359265,105.7847684
22.7023407,106.6423304
21.389001,105.8513767
22.1203873,105.1919285
18.8310745,105.3784467
21.0040707,105.5354052
13.8242556,108.1179115
20.5720122,106.233504
20.7687497,106.3169725
22.9396565,105.3051674
21.3825439,105.3608662
15.0651845,108.8928379
15.0944451,108.788327
11.151098,107.4622375
10.9793417,106.6543124
19.8784748,105.6261199
21.2787172,105.5889291
20.4474265,106.5945938
22.303604,104.9289448
10.5440051,106.5583691
14.270822,108.5775805
20.9186795,105.968472
10.0969291,105.7120322
20.3785033,105.263992
19.6784153,105.7052513
10.8845698,106.8853294
10.3515498,106.2904488
20.9634595,106.3148432
20.6079726,105.6757385
13.1530806,108.3437347
13.080004,109.2703524
16.9467764,107.1165329
10.9820391,106.7844124
21.3265398,106.3611989
18.3306854,105.911749
21.0849494,105.562436
9.2407128,105.8131173
16.0613529,108.160998
21.1370374,105.945168
10.9535378,106.9601362
19.1894529,105.686792
21.600397,105.8256863
10.9553728,106.8328658
18.3759183,105.7085556
21.7492809,105.0298467
10.9647189,106.898611
10.9806646,106.6991436
21.5757077,105.8392851
21.7437768,105.2595748
21.0488133,106.2582765
20.7055098,106.1065068
21.3407533,105.8578554
21.0908565,105.9941288
20.1058639,106.2366364
14.6058737,108.8900283
14.6434128,107.833459
21.3267577,105.3522266
11.0273603,106.6997766
21.6498534,105.7560106
10.3400815,107.0770746
19.9326766,105.755889
18.4368327,105.8719879
21.9835635,105.0926601
22.1762321,104.7600245
21.3802245,105.3050113
21.2065644,106.2763657
23.3079549,105.3629945
10.9393201,107.4285556
21.2862129,103.9327857
18.8081249,105.468514
20.4549406,106.3020034
12.7723876,108.0092774
10.8804316,107.6441125
21.8094736,105.6828694
20.8547388,106.7096989
22.3296528,104.2554563
21.7498443,105.0917467
10.9764161,106.7500821
10.583634,107.0873055
21.3840637,105.344384
20.9819979,106.5633485
18.4933456,105.5687427
10.2769427,106.624237
20.4583535,106.500107
11.2010322,106.3437998
21.5607388,104.6003171
21.2057133,105.1267013
21.8286757,106.6230547
17.0260811,107.082403
21.6158697,104.4906475
21.020554,105.5212797
10.790714,106.6722614
20.3739409,106.2969956
16.0300019,108.2163675
19.6195543,105.7231393
20.2513922,106.4494941
8.9124573,104.954655
18.9893753,105.2731989
10.2269881,106.2800391
21.3295461,105.4192713
13.230221,108.645262
20.9812129,104.4309175
21.3888726,106.2960291
9.8679611,105.5836573
9.7588553,105.0089025
21.4644361,105.9302019
20.9947336,105.7979799
10.9499694,108.1100246
10.0466955,105.5239043
18.7742954,105.4083802
10.7266664,106.8653946
21.9817229,104.5557639
10.0862213,106.0508969
20.194922,105.9865248
20.85473,103.6440861
21.632518,105.1232842
21.6545867,104.5098834
10.7047109,106.6842937
9.2112167,105.5800362
21.7591161,106.0662281
10.82834,106.6490856
12.6060292,108.0897832
11.5060753,106.5022629
10.9514277,108.0897751
21.1870002,104.0438694
